Security,Symbol,Shared GICS Sector,Ticks,Shared GICS Sub-Ind.,Ticks,GICS Sector,GICS Sub-Industry,Date first added,Headquarters Location,SEC filings,CIK,Founded
Boston Scientific,BSX,,,,,Health Care,Health Care Equipment,1995-02-24,"Marlborough, Massachusetts[4]",reports,885725,1979
Danaher,DHR,,,,,Health Care,Health Care Equipment,,"Washington, D.C.",reports,313616,1969
DexCom,DXCM,,,,,Health Care,Health Care Equipment,2020-05-12,"San Diego, California",reports,1093557,1999
Edwards Lifesciences,EW,,,,,Health Care,Health Care Equipment,2011-04-01,"Irvine, California",reports,1099800,1958
Hologic,HOLX,,,,,Health Care,Health Care Equipment,2016-03-30,"Marlborough, Massachusetts",reports,859737,1985
Idexx Laboratories,IDXX,,,,,Health Care,Health Care Equipment,2017-01-05,"Westbrook, Maine",reports,874716,1983
Intuitive Surgical,ISRG,,,,,Health Care,Health Care Equipment,2008-06-02,"Sunnyvale, California",reports,1035267,1995
Medtronic,MDT,,,,,Health Care,Health Care Equipment,1986-10-31,"Dublin, Ireland",reports,1613103,1949
PerkinElmer,PKI,,,,,Health Care,Health Care Equipment,1985-05-31,"Waltham, Massachusetts",reports,31791,1937
ResMed,RMD,,,,,Health Care,Health Care Equipment,2017-07-26,"San Diego, California",reports,943819,1989
Steris,STE,,,,,Health Care,Health Care Equipment,2019-12-23,"Dublin, Ireland",reports,1757898,1985
Stryker,SYK,,,,,Health Care,Health Care Equipment,2000-12-12,"Kalamazoo, Michigan",reports,310764,1941
Teleflex,TFX,,,,,Health Care,Health Care Equipment,2019-01-18,"Wayne, Pennsylvania",reports,96943,1943
Zimmer Biomet,ZBH,,,Health Care Equipment,,Health Care,Health Care Equipment,2001-08-07,"Warsaw, Indiana",reports,1136869,1927
DaVita,DVA,,,,,Health Care,Health Care Facilities,2008-07-31,"Denver, Colorado",reports,927066,1979
HCA Healthcare,HCA,,,,,Health Care,Health Care Facilities,2015-01-27,"Nashville, Tennessee",reports,860730,1968
Universal Health Services,UHS,,,Health Care Facilities,,Health Care,Health Care Facilities,2014-09-20,"King of Prussia, Pennsylvania",reports,352915,1979
CVS Health,CVS,,,,,Health Care,Health Care Services,1957-03-04,"Woonsocket, Rhode Island",reports,64803,1996
LabCorp,LH,,,,,Health Care,Health Care Services,2004-11-01,"Burlington, North Carolina",reports,920148,1978
Quest Diagnostics,DGX,,,Health Care Services,,Health Care,Health Care Services,2002-12-12,"Secaucus, New Jersey",reports,1022079,1967
Align,ALGN,,,,,Health Care,Health Care Supplies,2017-06-19,"San Jose, California",reports,1097149,1997
CooperCompanies,COO,,,,,Health Care,Health Care Supplies,2016-09-23,"San Ramon, California",reports,711404,1958
Dentsply Sirona,XRAY,,,,,Health Care,Health Care Supplies,2008-11-14,"Charlotte, North Carolina",reports,818479,2016 (1969)
West Pharmaceutical Services,WST,,,Health Care Supplies,,Health Care,Health Care Supplies,2020-05-22,"Exton, Pennsylvania",reports,105770,1923
Cerner,CERN,,,Health Care Technology,,Health Care,Health Care Technology,2010-04-30,"North Kansas City, Missouri",reports,804753,1979
Bio-Rad,BIO,,,,,Health Care,Life Sciences Tools & Services,2020-06-22,"Hercules, California",reports,12208,1952
Bio-Techne,TECH,,,,,Health Care,Life Sciences Tools & Services,2021-08-30,"Minneapolis, Minnesota",reports,842023,1976
Charles River,CRL,,,,,Health Care,Life Sciences Tools & Services,2021-05-14,"Wilmington, Massachusetts",reports,1100682,1947
Illumina,ILMN,,,,,Health Care,Life Sciences Tools & Services,2015-11-19,"San Diego, California",reports,1110803,1998
IQVIA,IQV,,,,,Health Care,Life Sciences Tools & Services,2017-08-29,"Durham, North Carolina",reports,1478242,1982
Mettler Toledo,MTD,,,,,Health Care,Life Sciences Tools & Services,2016-09-06,"Columbus, Ohio",reports,1037646,1945
Thermo Fisher Scientific,TMO,,,Life Sciences Tools & Services,,Health Care,Life Sciences Tools & Services,2004-08-03,"Waltham, Massachusetts",reports,97745,2006 (1902)
Anthem,ANTM,,,,,Health Care,Managed Health Care,2002-07-25,"Indianapolis, Indiana",reports,1156039,2014 (1946)
Centene,CNC,,,,,Health Care,Managed Health Care,2016-03-30,"St. Louis, Missouri",reports,1071739,1984
Cigna,CI,,,,,Health Care,Managed Health Care,1976-06-30,"Bloomfield, Connecticut",reports,1739940,1982
Humana,HUM,,,,,Health Care,Managed Health Care,,"Louisville, Kentucky",reports,49071,1961
Molina Healthcare,MOH,,,,,Health Care,Managed Health Care,2022-03-02,"Long Beach, California",reports,1179929,1980
UnitedHealth Group,UNH,,,Managed Health Care,,Health Care,Managed Health Care,1994-07-01,"Minnetonka, Minnesota",reports,731766,1977
AbbVie,ABBV,,,,,Health Care,Pharmaceuticals,2012-12-31,"North Chicago, Illinois",reports,1551152,2013 (1888)
Catalent,CTLT,,,,,Health Care,Pharmaceuticals,2020-09-21,"Somerset, New Jersey",reports,1596783,2007
Johnson & Johnson,JNJ,,,,,Health Care,Pharmaceuticals,1973-06-30,"New Brunswick, New Jersey",reports,200406,1886
Lilly,LLY,,,,,Health Care,Pharmaceuticals,1970-12-31,"Indianapolis, Indiana",reports,59478,1876
Merck,MRK,,,,,Health Care,Pharmaceuticals,1957-03-04,"Kenilworth, New Jersey",reports,310158,1891
Organon,OGN,,,,,Health Care,Pharmaceuticals,2021-06-03,"Jersey City, New Jersey",reports,1821825,2021
Pfizer,PFE,,,,,Health Care,Pharmaceuticals,1957-03-04,"New York City, New York",reports,78003,1849
Viatris,VTRS,,,,,Health Care,Pharmaceuticals,2004-04-23,"Pittsburgh, Pennsylvania",reports,1792044,1961
Zoetis,ZTS,Health Care,,Pharmaceuticals,,Health Care,Pharmaceuticals,2013-06-21,"Parsippany, New Jersey",reports,1555280,1952
Boeing,BA,,,,,Industrials,Aerospace & Defense,1957-03-04,"Chicago, Illinois",reports,12927,1916
General Dynamics,GD,,,,,Industrials,Aerospace & Defense,1957-03-04,"Falls Church, Virginia",reports,40533,1899
Howmet Aerospace,HWM,,,,,Industrials,Aerospace & Defense,1964-03-31,"Pittsburgh, Pennsylvania",reports,4281,2016
Huntington Ingalls Industries,HII,,,,,Industrials,Aerospace & Defense,2018-01-03,"Newport News, Virginia",reports,1501585,2011
L3Harris,LHX,,,,,Industrials,Aerospace & Defense,2008-09-22,"Melbourne, Florida",reports,202058,2019 (1895)
Lockheed Martin,LMT,,,,,Industrials,Aerospace & Defense,1984-07-31,"Bethesda, Maryland",reports,936468,1995
Northrop Grumman,NOC,,,,,Industrials,Aerospace & Defense,1985-06-30,"West Falls Church, Virginia",reports,1133421,"1994 (Northrop 1939, Grumman 1930) "
Raytheon Technologies,RTX,,,,,Industrials,Aerospace & Defense,,"Waltham, Massachusetts",reports,101829,1922
Teledyne,TDY,,,,,Industrials,Aerospace & Defense,2020-06-22,"Thousand Oaks, California",reports,1094285,1960
Textron,TXT,,,,,Industrials,Aerospace & Defense,1978-12-31,"Providence, Rhode Island",reports,217346,1923
TransDigm,TDG,,,Aerospace & Defense,,Industrials,Aerospace & Defense,2016-06-03,"Cleveland, Ohio",reports,1260221,1993
Deere & Co.,DE,,,Agricultural & Farm Machinery,,Industrials,Agricultural & Farm Machinery,1957-03-04,"Moline, Illinois",reports,315189,1837
C.H. Robinson,CHRW,,,,,Industrials,Air Freight & Logistics,2007-03-02,"Eden Prairie, Minnesota",reports,1043277,1905
Expeditors,EXPD,,,,,Industrials,Air Freight & Logistics,2007-10-10,"Seattle, Washington",reports,746515,1979
FedEx,FDX,,,,,Industrials,Air Freight & Logistics,1980-12-31,"Memphis, Tennessee",reports,1048911,1971
United Parcel Service,UPS,,,Air Freight & Logistics,,Industrials,Air Freight & Logistics,2002-07-22,"Sandy Springs, Georgia",reports,1090727,1907
Alaska Air Group,ALK,,,,,Industrials,Airlines,2016-05-13,"Seattle, Washington",reports,766421,1985
American Airlines Group,AAL,,,,,Industrials,Airlines,2015-03-23,"Fort Worth, Texas",reports,6201,1934
Delta Air Lines,DAL,,,,,Industrials,Airlines,2013-09-11,"Atlanta, Georgia",reports,27904,1929
Southwest Airlines,LUV,,,,,Industrials,Airlines,1994-07-01,"Dallas, Texas",reports,92380,1967
United Airlines,UAL,,,Airlines,,Industrials,Airlines,2015-09-03,"Chicago, Illinois",reports,100517,1967
A. O. Smith,AOS,,,,,Industrials,Building Products,2017-07-26,"Milwaukee, Wisconsin",reports,91142,1916
Allegion,ALLE,,,,,Industrials,Building Products,2013-12-02,"New York City, New York",reports,1579241,1908
Carrier,CARR,,,,,Industrials,Building Products,2020-04-03,"Palm Beach Gardens, Florida",reports,1783180,2020 (1915)
Fastenal,FAST,,,,,Industrials,Building Products,2008-09-15,"Winona, Minnesota",reports,815556,1967
Fortune Brands,FBHS,,,,,Industrials,Building Products,2016-06-22,"Deerfield, Illinois",reports,1519751,2011 (1969)
Johnson Controls,JCI,,,,,Industrials,Building Products,2010-08-27,"Cork, Ireland",reports,833444,1885
Masco,MAS,,,,,Industrials,Building Products,1981-06-30,"Livonia, Michigan",reports,62996,1929
Trane Technologies,TT,,,Building Products,,Industrials,Building Products,2010-11-17,"Dublin, Ireland",reports,1466258,1871
Jacobs,J,,,,,Industrials,Construction & Engineering,2007-10-26,"Dallas, Texas",reports,52988,1947
Quanta,PWR,,,Construction & Engineering,,Industrials,Construction & Engineering,2009-07-01,"Houston, Texas",reports,1050915,1997
Caterpillar,CAT,,,,,Industrials,Construction Machinery & Heavy Trucks,1957-03-04,"Deerfield, Illinois",reports,18230,1925
Paccar,PCAR,,,,,Industrials,Construction Machinery & Heavy Trucks,1980-12-31,"Bellevue, Washington",reports,75362,1905
Wabtec,WAB,,,Construction Machinery & Heavy Trucks,,Industrials,Construction Machinery & Heavy Trucks,2019-02-27,"Pittsburgh, Pennsylvania",reports,943452,1999 (1869)
Cintas,CTAS,,,,,Industrials,Diversified Support Services,2001-03-01,"Mason, Ohio",reports,723254,1929
Copart,CPRT,,,,,Industrials,Diversified Support Services,2018-07-02,"Dallas, Texas",reports,900075,1982
Leidos,LDOS,,,Diversified Support Services,,Industrials,Diversified Support Services,2019-08-09,"Reston, Virginia",reports,1336920,1969
Ametek,AME,,,,,Industrials,Electrical Components & Equipment,2013-09-23,"Berwyn, Pennsylvania",reports,1037868,1930
Eaton,ETN,,,,,Industrials,Electrical Components & Equipment,,"Dublin, Ireland",reports,1551182,1911
Emerson,EMR,,,,,Industrials,Electrical Components & Equipment,1965-03-31,"Ferguson, Missouri",reports,32604,1890
Generac,GNRC,,,,,Industrials,Electrical Components & Equipment,2021-03-22,"Waukesha, Wisconsin",reports,1474735,1959
Rockwell Automation,ROK,,,Electrical Components & Equipment,,Industrials,Electrical Components & Equipment,,"Milwaukee, Wisconsin",reports,1024478,1903
Republic Services,RSG,,,,,Industrials,Environmental & Facilities Services,2008-12-05,"Phoenix, Arizona",reports,1060391,1998 (1981)
Rollins,ROL,,,,,Industrials,Environmental & Facilities Services,2018-10-01,"Atlanta, Georgia",reports,84839,1948
Waste Management,WM,,,Environmental & Facilities Services,,Industrials,Environmental & Facilities Services,,"Houston, Texas",reports,823768,1968
Robert Half,RHI,,,Human Resource & Employment Services,,Industrials,Human Resource & Employment Services,2000-12-05,"Menlo Park, California",reports,315213,1948
3M,MMM,,,,,Industrials,Industrial Conglomerates,1976-08-09,"Saint Paul, Minnesota",reports,66740,1902
GE,GE,,,,,Industrials,Industrial Conglomerates,,"Boston, Massachusetts",reports,40545,1892
Honeywell,HON,,,,,Industrials,Industrial Conglomerates,1964-03-31,"Charlotte, North Carolina",reports,773840,1906
Roper,ROP,,,Industrial Conglomerates,,Industrials,Industrial Conglomerates,2009-12-23,"Sarasota, Florida",reports,882835,1981
Cummins,CMI,,,,,Industrials,Industrial Machinery,1965-03-31,"Columbus, Indiana",reports,26172,1919
Dover,DOV,,,,,Industrials,Industrial Machinery,1985-10-31,"Downers Grove, Illinois",reports,29905,1955
Fortive,FTV,,,,,Industrials,Industrial Machinery,2016-07-01,"Everett, Washington",reports,1659166,2016
Grainger,GWW,,,,,Industrials,Industrial Machinery,1981-06-30,"Lake Forest, Illinois",reports,277135,1927
IDEX,IEX,,,,,Industrials,Industrial Machinery,2019-08-09,"Lake Forest, Illinois",reports,832101,1988
Illinois Tool Works,ITW,,,,,Industrials,Industrial Machinery,1986-02-28,"Glenview, Illinois",reports,49826,1912
Ingersoll Rand,IR,,,,,Industrials,Industrial Machinery,2020-03-03,"Davidson, North Carolina",reports,1699150,1859
Nordson,NDSN,,,,,Industrials,Industrial Machinery,2022-02-15,"Westlake, Ohio",reports,72331,1935
Otis,OTIS,,,,,Industrials,Industrial Machinery,2020-04-03,"Farmington, Connecticut",reports,1781335,2020 (1853)
Parker,PH,,,,,Industrials,Industrial Machinery,1985-11-30,"Cleveland, Ohio",reports,76334,1917
Pentair,PNR,,,,,Industrials,Industrial Machinery,2012-10-01,"Worsley, United Kingdom",reports,77360,1966
Snap-on,SNA,,,,,Industrials,Industrial Machinery,1982-09-30,"Kenosha, Wisconsin",reports,91440,1920
Stanley Black & Decker,SWK,,,,,Industrials,Industrial Machinery,1982-09-30,"New Britain, Connecticut",reports,93556,1843
Xylem,XYL,,,Industrial Machinery,,Industrials,Industrial Machinery,2011-11-01,"White Plains, New York",reports,1524472,2011
CSX,CSX,,,,,Industrials,Railroads,1967-09-30,"Jacksonville, Florida",reports,277948,1980
Norfolk Southern,NSC,,,,,Industrials,Railroads,1957-03-04,"Norfolk, Virginia",reports,702165,1881/1894 (1980)
Union Pacific,UNP,,,Railroads,,Industrials,Railroads,1957-03-04,"Omaha, Nebraska",reports,100885,1862
Equifax,EFX,,,,,Industrials,Research & Consulting Services,1997-06-19,"Atlanta, Georgia",reports,33185,1899
Nielsen,NLSN,,,,,Industrials,Research & Consulting Services,2013-07-09,"New York City, New York",reports,1492633,1923
Verisk,VRSK,,,Research & Consulting Services,,Industrials,Research & Consulting Services,2015-10-08,"Jersey City, New Jersey",reports,1442145,1971
United Rentals,URI,,,Trading Companies & Distributors,,Industrials,Trading Companies & Distributors,2014-09-20,"Stamford, Connecticut",reports,1067701,1997
J.B. Hunt,JBHT,,,,,Industrials,Trucking,2015-07-01,"Lowell, Arkansas",reports,728535,1961
Old Dominion,ODFL,Industrials,,Trucking,,Industrials,Trucking,2019-12-09,"Thomasville, North Carolina",reports,878927,1934
Adobe,ADBE,,,,,Information Technology,Application Software,1997-05-05,"San Jose, California",reports,796343,1982
Ansys,ANSS,,,,,Information Technology,Application Software,2017-06-19,"Canonsburg, Pennsylvania",reports,1013462,1969
Autodesk,ADSK,,,,,Information Technology,Application Software,1989-12-01,"San Rafael, California",reports,769397,1982
Cadence,CDNS,,,,,Information Technology,Application Software,2017-09-18,"San Jose, California",reports,813672,1988
Ceridian,CDAY,,,,,Information Technology,Application Software,2021-09-20,"Minneapolis, Minnesota",reports,1725057,1992
Citrix,CTXS,,,,,Information Technology,Application Software,1999-12-01,"Fort Lauderdale, Florida",reports,877890,1989
Intuit,INTU,,,,,Information Technology,Application Software,2000-12-05,"Mountain View, California",reports,896878,1983
NortonLifeLock,NLOK,,,,,Information Technology,Application Software,2003-03-25,"Tempe, Arizona",reports,849399,1982
Oracle,ORCL,,,,,Information Technology,Application Software,1989-08-31,"Austin, Texas",reports,1341439,1977
Paycom,PAYC,,,,,Information Technology,Application Software,2020-01-28,"Oklahoma City, Oklahoma",reports,1590955,1998
PTC,PTC,,,,,Information Technology,Application Software,2021-04-20,"Boston, Massachusetts",reports,857005,1985
Salesforce,CRM,,,,,Information Technology,Application Software,2008-09-15,"San Francisco, California",reports,1108524,1999
Synopsys,SNPS,,,,,Information Technology,Application Software,2017-03-16,"Mountain View, California",reports,883241,1986
Tyler Technologies,TYL,,,Application Software,,Information Technology,Application Software,2020-06-22,"Plano, Texas",reports,860731,1966
Arista,ANET,,,,,Information Technology,Communications Equipment,2018-08-28,"Santa Clara, California",reports,1596532,2004
Cisco,CSCO,,,,,Information Technology,Communications Equipment,1993-12-01,"San Jose, California",reports,858877,1984
F5,FFIV,,,,,Information Technology,Communications Equipment,2010-12-20,"Seattle, Washington",reports,1048695,1996
Juniper Networks,JNPR,,,,,Information Technology,Communications Equipment,2006-06-02,"Sunnyvale, California",reports,1043604,1996
Motorola Solutions,MSI,,,Communications Equipment,,Information Technology,Communications Equipment,,"Chicago, Illinois",reports,68505,1928 (2011)
ADP,ADP,,,,,Information Technology,Data Processing & Outsourced Services,1981-03-31,"Roseland, New Jersey",reports,8670,1949
Broadridge,BR,,,,,Information Technology,Data Processing & Outsourced Services,2018-06-18,"Lake Success, New York",reports,1383312,1962
FIS,FIS,,,,,Information Technology,Data Processing & Outsourced Services,2006-11-10,"Jacksonville, Florida",reports,1136893,1968
Fiserv,FISV,,,,,Information Technology,Data Processing & Outsourced Services,2001-04-02,"Brookfield, Wisconsin",reports,798354,1984
Fleetcor,FLT,,,,,Information Technology,Data Processing & Outsourced Services,2018-06-20,"Norcross, Georgia",reports,1175454,2000
Global Payments,GPN,,,,,Information Technology,Data Processing & Outsourced Services,2016-04-25,"Atlanta, Georgia",reports,1123360,2000
Jack Henry & Associates,JKHY,,,,,Information Technology,Data Processing & Outsourced Services,2018-11-13,"Monett, Missouri",reports,779152,1976
Mastercard,MA,,,,,Information Technology,Data Processing & Outsourced Services,2008-07-18,"Harrison, New York",reports,1141391,1966
Paychex,PAYX,,,,,Information Technology,Data Processing & Outsourced Services,,"Penfield, New York",reports,723531,1971
PayPal,PYPL,,,,,Information Technology,Data Processing & Outsourced Services,2015-07-20,"San Jose, California",reports,1633917,1998
Visa,V,,,Data Processing & Outsourced Services,,Information Technology,Data Processing & Outsourced Services,2009-12-21,"San Francisco, California",reports,1403161,1958
Amphenol,APH,,,,,Information Technology,Electronic Components,2008-09-30,"Wallingford, Connecticut",reports,820313,1932
Corning,GLW,,,,,Information Technology,Electronic Components,,"Corning, New York",reports,24741,1851
Enphase,ENPH,,,Electronic Components,,Information Technology,Electronic Components,2021-01-07,"Fremont, California",reports,1463101,2006
Keysight,KEYS,,,,,Information Technology,Electronic Equipment & Instruments,2018-11-06,"Santa Rosa, California",reports,1601046,2014
Trimble,TRMB,,,,,Information Technology,Electronic Equipment & Instruments,2021-01-21,"Sunnyvale, California",reports,864749,1978
Zebra,ZBRA,,,Electronic Equipment & Instruments,,Information Technology,Electronic Equipment & Instruments,2019-12-23,"Lincolnshire, Illinois",reports,877212,1969
IPG Photonics,IPGP,,,,,Information Technology,Electronic Manufacturing Services,2018-03-07,"Oxford, Massachusetts",reports,1111928,1990
TE Connectivity,TEL,,,Electronic Manufacturing Services,,Information Technology,Electronic Manufacturing Services,2011-10-17,"Schaffhausen, Switzerland",reports,1385157,2007
Akamai,AKAM,,,,,Information Technology,Internet Services & Infrastructure,2007-07-12,"Cambridge, Massachusetts",reports,1086222,1998
Verisign,VRSN,,,Internet Services & Infrastructure,,Information Technology,Internet Services & Infrastructure,2006-02-01,"Dulles, Virginia",reports,1014473,1995
Accenture,ACN,,,,,Information Technology,IT Consulting & Other Services,2011-07-06,"Dublin, Ireland",reports,1467373,1989
Cognizant,CTSH,,,,,Information Technology,IT Consulting & Other Services,2006-11-17,"Teaneck, New Jersey",reports,1058290,1994
DXC Technology,DXC,,,,,Information Technology,IT Consulting & Other Services,2017-04-04,"Tysons Corner, Virginia",reports,1688568,2017
EPAM,EPAM,,,,,Information Technology,IT Consulting & Other Services,2021-12-14,"Newtown, Pennsylvania",reports,1352010,1993
Gartner,IT,,,,,Information Technology,IT Consulting & Other Services,2017-04-05,"Stamford, Connecticut",reports,749251,1979
IBM,IBM,,,IT Consulting & Other Services,,Information Technology,IT Consulting & Other Services,1957-03-04,"Armonk, New York",reports,51143,1911
Applied Materials,AMAT,,,,,Information Technology,Semiconductor Equipment,1995-03-16,"Santa Clara, California",reports,6951,1967
KLA,KLAC,,,,,Information Technology,Semiconductor Equipment,,"Milpitas, California",reports,319201,1975/1977 (1997)
Lam Research,LRCX,,,,,Information Technology,Semiconductor Equipment,2012-06-29,"Fremont, California",reports,707549,1980
SolarEdge,SEDG,,,,,Information Technology,Semiconductor Equipment,2021-12-20,"Herzliya, Israel",reports,1419612,2006
Teradyne,TER,,,Semiconductor Equipment,,Information Technology,Semiconductor Equipment,2020-09-21,"North Reading, Massachusetts",reports,97210,1960
AMD,AMD,,,,,Information Technology,Semiconductors,,"Santa Clara, California",reports,2488,1969
Analog Devices,ADI,,,,,Information Technology,Semiconductors,1999-10-12,"Wilmington, Massachusetts",reports,6281,1965
Broadcom,AVGO,,,,,Information Technology,Semiconductors,2014-05-08,"San Jose, California",reports,1730168,1961
Intel,INTC,,,,,Information Technology,Semiconductors,1976-12-31,"Santa Clara, California",reports,50863,1968
Microchip,MCHP,,,,,Information Technology,Semiconductors,2007-09-07,"Chandler, Arizona",reports,827054,1989
Micron,MU,,,,,Information Technology,Semiconductors,1994-09-27,"Boise, Idaho",reports,723125,1978
Monolithic Power Systems,MPWR,,,,,Information Technology,Semiconductors,2021-02-12,"Kirkland, Washington",reports,1280452,1997
Nvidia,NVDA,,,,,Information Technology,Semiconductors,2001-11-30,"Santa Clara, California",reports,1045810,1993
NXP,NXPI,,,,,Information Technology,Semiconductors,2021-03-22,"Eindhoven, Netherlands",reports,1413447,1953
Qorvo,QRVO,,,,,Information Technology,Semiconductors,2015-06-11,"Greensboro, North Carolina",reports,1604778,2015
Qualcomm,QCOM,,,,,Information Technology,Semiconductors,,"San Diego, California",reports,804328,1985
Skyworks,SWKS,,,,,Information Technology,Semiconductors,2015-03-12,"Woburn, Massachusetts",reports,4127,2002
Texas Instruments,TXN,,,Semiconductors,,Information Technology,Semiconductors,,"Dallas, Texas",reports,97476,1930
Fortinet,FTNT,,,,,Information Technology,Systems Software,2018-10-11,"Sunnyvale, California",reports,1262039,2000
Microsoft,MSFT,,,,,Information Technology,Systems Software,1994-06-01,"Redmond, Washington",reports,789019,1975
ServiceNow,NOW,,,Systems Software,,Information Technology,Systems Software,2019-11-21,"Santa Clara, California",reports,1373715,2003
CDW,CDW,,,Technology Distributors,,Information Technology,Technology Distributors,2019-09-23,"Lincolnshire, Illinois",reports,1402057,1984
Apple,AAPL,,,,,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,"Cupertino, California",reports,320193,1977
Hewlett Packard Enterprise,HPE,,,,,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,"Houston, Texas",reports,1645590,2015
HP,HPQ,,,,,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,"Palo Alto, California",reports,47217,1939 (2015)
NetApp,NTAP,,,,,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,"Sunnyvale, California",reports,1002047,1992
Seagate,STX,,,,,Information Technology,"Technology Hardware, Storage & Peripherals",2012-07-02,"Dublin, Ireland",reports,1137789,1979
Western Digital,WDC,Information Technology,,"Technology Hardware, Storage & Peripherals",,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01,"San Jose, California",reports,106040,1970
Dow,DOW,,,Commodity Chemicals,,Materials,Commodity Chemicals,2019-04-01,"Midland, Michigan",reports,1751788,2019
Martin Marietta,MLM,,,,,Materials,Construction Materials,2014-07-02,"Raleigh, North Carolina",reports,916076,1993
Vulcan Materials,VMC,,,Construction Materials,,Materials,Construction Materials,1999-06-30,"Birmingham, Alabama",reports,1396009,1909
Freeport-McMoRan,FCX,,,Copper,,Materials,Copper,,"Phoenix, Arizona",reports,831259,1912
Eastman,EMN,,,Diversified Chemicals,,Materials,Diversified Chemicals,1994-01-01,"Kingsport, Tennessee",reports,915389,1920
CF Industries,CF,,,,,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,"Deerfield, Illinois",reports,1324404,1946
Corteva,CTVA,,,,,Materials,Fertilizers & Agricultural Chemicals,2019-06-03,"Wilmington, Delaware",reports,1755672,2019
FMC,FMC,,,,,Materials,Fertilizers & Agricultural Chemicals,2009-08-19,"Philadelphia, Pennsylvania",reports,37785,1883
Mosaic,MOS,,,Fertilizers & Agricultural Chemicals,,Materials,Fertilizers & Agricultural Chemicals,2011-09-26,"Tampa, Florida",reports,1285785,2004 (1865 / 1909)
Newmont,NEM,,,Gold,,Materials,Gold,1969-06-30,"Denver, Colorado",reports,1164727,1921
Air Products,APD,,,,,Materials,Industrial Gases,1985-04-30,"Allentown, Pennsylvania",reports,2969,1940
Linde,LIN,,,Industrial Gases,,Materials,Industrial Gases,1992-07-01,"Guildford, United Kingdom",reports,1707925,1879
Ball,BALL,,,Metal & Glass Containers,,Materials,Metal & Glass Containers,1984-10-31,"Broomfield, Colorado",reports,9389,1880
Amcor,AMCR,,,,,Materials,Paper Packaging,2019-06-07,"Warmley, Bristol, United Kingdom",reports,1748790,2019 (1860)
Avery Dennison,AVY,,,,,Materials,Paper Packaging,1987-12-31,"Glendale, California",reports,8818,1990
International Paper,IP,,,,,Materials,Paper Packaging,1957-03-04,"Memphis, Tennessee",reports,51434,1898
Packaging Corporation of America,PKG,,,,,Materials,Paper Packaging,2017-07-26,"Lake Forest, Illinois",reports,75677,1959
Sealed Air,SEE,,,,,Materials,Paper Packaging,1957-03-04,"Charlotte, North Carolina",reports,1012100,1960
WestRock,WRK,,,Paper Packaging,,Materials,Paper Packaging,,"Atlanta, Georgia",reports,1732845,2015
Albemarle,ALB,,,,,Materials,Specialty Chemicals,2016-07-01,"Charlotte, North Carolina",reports,915913,1994
Celanese,CE,,,,,Materials,Specialty Chemicals,2018-12-24,"Irving, Texas",reports,1306830,1918
DuPont,DD,,,,,Materials,Specialty Chemicals,2019-04-02,"Wilmington, Delaware",reports,1666700,2017
Ecolab,ECL,,,,,Materials,Specialty Chemicals,1989-01-31,"Saint Paul, Minnesota",reports,31462,1923
International Flavors & Fragrances,IFF,,,,,Materials,Specialty Chemicals,1976-03-31,"New York City, New York",reports,51253,1958 (1889)
LyondellBasell,LYB,,,,,Materials,Specialty Chemicals,2012-09-05,"Rotterdam, Netherlands",reports,1489393,2007
PPG Industries,PPG,,,,,Materials,Specialty Chemicals,1957-03-04,"Pittsburgh, Pennsylvania",reports,79879,1883
Sherwin-Williams,SHW,,,Specialty Chemicals,,Materials,Specialty Chemicals,1964-06-30,"Cleveland, Ohio",reports,89800,1866
Nucor,NUE,Materials,,Steel,,Materials,Steel,1985-04-30,"Charlotte, North Carolina",reports,73309,1940
Healthpeak,PEAK,,,,,Real Estate,Health Care REITs,2008-03-31,"Long Beach, California",reports,765880,1985
Ventas,VTR,,,,,Real Estate,Health Care REITs,2009-03-04,"Chicago, Illinois",reports,740260,1998
Welltower,WELL,,,Health Care REITs,,Real Estate,Health Care REITs,2009-01-30,"Toledo, Ohio",reports,766704,1970
Host Hotels & Resorts,HST,,,Hotel & Resort REITs,,Real Estate,Hotel & Resort REITs,2007-03-20,"Bethesda, Maryland",reports,1070750,1993
Duke Realty,DRE,,,,,Real Estate,Industrial REITs,2017-07-26,"Indianapolis, Indiana",reports,783280,1972
Prologis,PLD,,,Industrial REITs,,Real Estate,Industrial REITs,2003-07-17,"San Francisco, California",reports,1045609,1983
Alexandria,ARE,,,,,Real Estate,Office REITs,2017-03-20,"Pasadena, California",reports,1035443,1994
Boston Properties,BXP,,,,,Real Estate,Office REITs,2006-04-03,"Boston, Massachusetts",reports,1037540,1970
Vornado Realty Trust,VNO,,,Office REITs,,Real Estate,Office REITs,2005,"New York City, New York",reports,899689,1982
CBRE,CBRE,,,Real Estate Services,,Real Estate,Real Estate Services,2006-11-10,"Dallas, Texas",reports,1138118,1906
AvalonBay Communities,AVB,,,,,Real Estate,Residential REITs,2007-01-10,"Arlington, Virginia[3]",reports,915912,1978
Camden,CPT,,,,,Real Estate,Residential REITs,2022-04-04,"Houston, Texas",reports,906345,1981
